Line,Line2,glucose.low,glucose.high,glucose.main,glycogen.low,glycogen.high,glycogen.main,glycerol.low,glycerol.high,glycerol.main,triglycerides.low,triglycerides.high,triglycerides.main,protein.low,protein.high,protein.main,load.low,load.high,load.main,meanweight.low,meanweight.high,meanweight.main
721,line_721,1.52559,4.7655,1.5523,14.8432,19.7123,14.3649,4.4651,3.80445,4.4502,14.1314,24.9616,14.7175,4.52915,5.15981,4.54115,12.1572,13.6627,12.4304,781.3437,736.0122,768.0618
727,line_727,NA,4.3274,1.4849,NA,17.6788,11.9873,NA,3.4166,4.2135,NA,20.0827,8.5791,NA,5.02829,4.40308,NA,13.171,12.3986,NA,708.507,727.1718
73,line_73,1.49005,3.3615,1.33455,11.1783,16.9349,10.2278,4.65834,3.76037,4.56924,14.2951,22.0382,13.3028,4.53138,5.4336,4.7597,12.0472,13.9386,12.5688,669.2928,679.7722,677.2364
730,line_730,1.3776,4.9695,1.5478,13.0629,18.8395,12.597,4.58234,3.82786,4.54122,11.5675,24.1797,12.4147,4.57657,5.5619,4.9086,12.0156,12.7647,11.8624,833.0655,799.268,827.7903
732,line_732,1.3741,4.41875,1.46562,11.4625,16.8693,10.3192,4.2255,3.0068,3.7743,9.2428,20.1306,8.4663,4.2627,4.6222,3.8487,12.3478,13.4852,12.4882,699.0428,588.57,646.2455
737,line_737,1.459,4.3513,1.473705,14.9988,17.64373,12.9618,4.8222,3.6143,4.604491,10.119,25.5238,12.1181,4.3287,4.8503,4.099,12.8411,14.3728,13.2485,725.7662,710.3514,723.9069
738,line_738,1.5876,4.9475,1.58805,14.6978,17.4108,12.6372,4.4942,3.2921,4.1572,7.1163,19.8018,6.7026,4.41126,5.17611,4.43992,11.7497,12.214,11.4722,803.9464,760.7374,792.6715
75,line_75,1.42505,3.80015,1.3828,13.29451,17.1842,11.6322,4.2462,3.5245,4.1107,7.9673,22.1291,8.6288,4.53507,5.2454,4.6099,11.1678,13.1962,11.6451,694.958,727.0843,715.6872
761,line_761,1.63525,3.6671,1.41625,13.36229,17.3802,11.7208,4.59074,3.5587,4.3945,8.8833,19.9605,8.021,4.8098,4.8662,4.5597,12.1576,12.985,12.1068,734.5769,694.741,721.1428
765,line_765,1.7011,3.7321,1.43339,8.386,14.759,6.7752,5.4595,3.6231,5.0918,12.9105,25.6044,14.2406,4.4721,4.9752,4.3282,13.0693,13.965,13.084,755.7935,689.9274,729.5878
774,line_774,1.24815,4.05145,1.3855,12.8326,17.3241,11.4234,4.64266,3.5426,4.4203,13.4543,27.3917,15.6379,4.1465,4.9444,4.0041,13.1085,14.0224,13.1252,672.7979,716.497,697.8948
776,line_776,1.4136,3.66335,1.36155,9.9275,17.3588,9.4355,4.5543,3.1375,4.1082,11.372,23.6703,12.0256,4.3273,4.9486,4.1778,11.5438,14.2526,12.4306,691.4536,642.2968,670.0234
783,line_783,1.6513,5.3715,1.667,14.5314,19.9713,14.1631,4.63501,3.6055,4.4566,10.9663,23.3631,11.5524,4.2578,4.9711,4.1322,12.0939,13.53142,12.2653,734.4136,678.703,712.3082
786,line_786,1.3149,3.75105,1.35555,11.1325,16.3572,9.844,4.1972,3.3413,3.9612,8.6252,21.4489,8.7427,4.0618,5.12716,4.0793,12.9423,14.6517,13.2895,675.1923,682.0977,681.6634
787,line_787,1.6189,4.5405,1.53465,14.0734,16.7231,11.8378,4.3943,3.5044,4.2113,7.8887,22.8389,8.9638,4.44452,5.01773,4.3416,13.0994,14.5761,13.4654,734.7162,734.3015,741.1601
790,line_790,1.3794,5.832,1.675,14.3877,19.1274,13.5092,4.1028,3.609,4.0534,7.5271,22.3878,8.4437,4.2168,4.7333,3.9012,11.0505,12.5781,11.3027,658.0486,695.2756,679.0844
796,line_796,1.58505,4.066975,1.458,14.5843,18.0737,12.9777,5.0333,3.9705,4.9836,13.1352,23.1349,13.0452,4.47662,5.206,4.52426,13.5733,12.21,12.4113,733.1783,695.7301,720.4177
799,line_799,1.5746,4.44335,1.51315,13.40563,16.749,11.3439,4.64984,3.5294,4.4177,10.2276,23.06186,10.8274,4.2594,5.2342,4.3436,12.2817,13.2912,12.277,730.6578,688.4305,715.0653
801,line_801,1.4152,4.6845,1.51365,13.8007,18.1473,12.5519,4.68132,3.641,4.51354,9.5042,23.3081,10.4302,4.3431,5.16992,4.37236,10.7587,12.2314,10.9721,739.2038,692.4155,722.0037
802,line_802,1.46945,4.194,1.452765,15.0557,19.8721,14.475,4.5241,3.3811,4.2346,11.603,22.628,11.62,4.54455,4.875,4.3173,15.305,13.65696,13.8841,811.0308,795.4597,814.4621
804,line_804,1.412,3.70625,1.3691,12.9598,17.3345,11.5452,5.2206,3.75367,4.9933,10.0331,19.3491,8.6293,4.1475,4.99,4.0464,15.1883,15.1342,14.7715,740.7165,720.883,737.5192
805,line_805,1.99275,NA,1.54495,15.4437,NA,13.8403,5.1258,NA,5.1573,11.0765,NA,11.6656,4.6245,NA,4.5857,12.87744,12.5302,12.1384,827.6955,NA,816.9349
808,line_808,1.65185,3.96175,1.457025,14.462,17.3882,12.4949,4.2837,3.6056,4.1856,11.1731,22.2816,11.1005,4.0504,5.00053,3.9353,11.6485,13.293,12.0118,716.1865,678.9948,702.2805
810,line_810,1.68605,4.46235,1.53665,17.8313,19.6679,15.8665,4.1988,3.5075,4.0608,10.6905,23.5847,11.4629,4.2215,5.0144,4.1299,13.5714,14.2806,13.4367,761.6929,725.211,751.0198
812,line_812,1.73695,5.04,1.63215,18.1065,21.4227,17.2538,4.7714,3.85739,4.7113,10.0143,21.7521,9.9417,4.45797,5.2361,4.52738,13.8493,13.8953,13.5398,830.3853,826.76,840.99
818,line_818,1.70245,3.7757,1.44336,11.526,14.5996,8.4919,4.5637,3.8983,4.58208,8.6941,19.7016,7.7362,4.59259,5.01384,4.48038,11.9081,14.0187,12.7606,728.7783,734.7559,738.6167
820,line_820,1.55525,4.451,1.5106,13.1521,17.1129,11.4724,4.62848,3.5998,4.4481,11.4411,26.6603,13.7355,4.52854,5.00143,4.40546,11.4561,12.8405,11.688,676.3016,684.2629,683.3874
