Line,Line2,glucose.low,glucose.high,glucose.main,glycogen.low,glycogen.high,glycogen.main,glycerol.low,glycerol.high,glycerol.main,triglycerides.low,triglycerides.high,triglycerides.main,protein.low,protein.high,protein.main,load.low,load.high,load.main,meanweight.low,meanweight.high,meanweight.main
356,line_356,1.4422,4.605,1.50755,11.0297,19.5298,11.7383,4.2358,3.4639,4.0657,9.4497,18.2069,7.5602,4.46312,5.356,4.6339,14.0455,15.0133,14.1069,723.0686,749.6445,742.7048
357,line_357,1.62555,4.23505,1.4907,16.2365,19.616,14.9448,4.3518,4.0507,4.49873,11.9012,30.5292,16.4509,4.9512,4.7821,4.6139,15.3609,15.4792,15.0191,798.9552,752.4883,784.787
358,line_358,1.3539,3.59285,1.33995,13.31678,18.6882,12.5555,4.2636,3.71188,4.2354,8.6761,23.6759,10.0095,4.40787,5.07145,4.3475,13.9744,14.7295,13.9115,689.7651,663.8657,680.021
359,line_359,1.6779,3.3945,1.37785,15.8569,19.153,14.3693,4.4911,3.78094,4.451,8.6181,20.5147,8.2129,4.6809,5.3434,4.8193,13.6897,13.1115,12.8891,766.8108,718.8226,750.5233
360,line_360,1.3178,3.91175,1.3798,11.8355,18.4967,11.4282,4.1677,3.9536,4.314,9.722,26.4612,12.3416,4.52768,5.06389,4.45549,12.9927,12.7256,12.4411,695.2101,710.9394,707.495
362,line_362,1.69555,3.8433,1.447985,16.0484,20.6862,15.4687,4.3582,4.5166,4.8042,12.0279,33.0617,17.7241,4.3373,5.19291,4.38569,11.7539,14.1385,12.5784,783.9286,703.5352,752.2071
365,line_365,1.19465,3.4215,1.28215,9.3852,14.9435,7.9219,4.2575,3.5573,4.1395,10.0785,23.025987,10.7025,4.45649,5.05143,4.38001,11.8403,12.9359,11.9309,675.3688,607.47,643.254
367,line_367,1.2782,3.042,1.2432,12.9428,13.8564,9.3516,4.2659,3.2655,3.9636,12.859,22.1185,12.2688,4.54384,5.13777,4.52625,15.3841,15.267,14.8264,692.6896,627.4594,662.8367
370,line_370,1.30485,3.9617,1.38445,11.5121,16.0896,9.9072,4.5027,3.445,4.2574,9.6749,20.0619,8.7572,4.8392,5.04662,4.7274,13.047,14.3696,13.2684,733.6573,650.0752,697.1238
373,line_373,1.38525,3.87435,1.38785,14.9617,19.9065,14.2956,4.63389,4.1317,4.7748,9.2517,17.6384,7.0907,4.9118,4.9432,4.7057,12.6505,14.335,13.0298,779.5425,771.1866,784.5057
374,line_374,1.37825,3.06,1.267,13.6052,19.8528,13.486,4.8214,3.3909,4.467,9.5061,22.94228,10.2287,5.1083,5.2552,5.1442,14.8089,15.476,14.6985,778.5586,684.049,739.2155
375,line_375,1.73265,4.12975,1.50225,17.1779,18.5624,14.7245,5.1441,4.1041,5.1464,11.4365,24.7794,12.6826,4.8364,5.17669,4.8265,13.2331,12.4274,12.2275,819.9311,772.8706,807.4686
377,line_377,1.6843,3.388,1.37825,13.666,18.3122,12.5337,5.0831,3.5723,4.7739,11.0912,20.6359,10.1266,4.58111,5.4416,4.8076,13.3448,13.55495,12.8745,774.0969,711.2639,750.6091
378,line_378,1.37035,4.1477,1.42495,13.1246,20.2963,13.4314,4.9352,4.069,4.9658,16.9661,24.1903,16.4844,4.57891,5.11548,4.54031,11.8839,13.66013,12.2973,789.6271,693.135,749.751
379,line_379,1.4745,3.84085,1.4014,9.2372,15.3884,8.0683,4.9197,4.5881,5.2723,14.721,32.7501,19.4594,4.46396,5.2298,4.52805,11.8924,12.4065,11.6139,797.9972,763.1184,790.3654
38,line_38,1.61835,3.179,1.3338,13.6106,18.0822,12.3585,4.60471,3.1708,4.1635,12.0409,21.3491,11.2313,4.41249,5.2246,4.4763,15.1362,15.0846,14.6359,734.616,710.269,728.4982
380,line_380,1.43065,3.3455,1.3199,11.4103,14.3555,8.777,4.74796,3.79952,4.66148,13.5296,23.5913,13.5927,4.7947,5.095519,4.7264,11.4836,12.6584,11.6511,731.8673,642.4037,692.1864
381,line_381,1.27195,3.8373,1.3589,13.1606,17.2994,11.6053,4.3505,4.2944,4.65866,7.4201,20.9297,7.5487,4.3794,5.18403,4.41292,12.0579,12.118,11.6543,746.4905,734.5398,747.5168
383,line_383,1.44355,4.10995,1.435255,11.9616,20.1917,12.8474,4.58696,3.4308,4.313,9.6549,23.11423,10.3849,5.1173,5.4018,5.2719,11.911,12.2821,11.5963,777.0964,760.4744,777.775
386,line_386,1.154,NA,1.35605,12.7486,NA,11.3957,4.1497,NA,3.945,9.6936,NA,9.9465,4.49303,NA,4.4545,10.6066,13.9984,11.7762,707.8668,NA,696.5807
391,line_391,1.09995,4.3723,1.402,8.4368,19.0671,9.8552,4.3416,4.4917,4.7728,6.9266,26.5831,10.3157,4.43403,5.5673,4.7749,14.2298,13.4676,13.2703,710.8669,763.5419,742.9931
392,line_392,1.15865,3.359,1.26235,9.44,15.5053,7.9441,4.5022,3.2736,4.1485,10.4554,22.0976,10.4626,4.9366,5.0332,4.8017,13.4573,14.1209,13.405,713.0855,673.3014,697.6466
393,line_393,1.50193,3.9286,1.4204,17.3871,16.1326,13.466,5.1075,4.7903,5.5426,10.9946,21.4863,10.5325,4.7715,5.4955,5.0305,13.7885,13.4391,13.1094,870.73,784.1262,841.27
398,line_398,1.39215,3.9766,1.40175,14.7639,17.8258,13.0422,4.58746,4.4521,4.8691,9.7791,25.1269,11.422,4.3845,5.15237,4.37585,12.1309,14.2165,12.5237,778.4096,760.9048,781.3253
399,line_399,1.4172,4.08695,1.4244,14.7462,19.0951,13.7421,4.5141,4.2472,4.7543,10.0017,24.5568,11.4879,4.2381,4.7762,3.9514,13.3979,14.0958,13.2712,736.406,758.4097,754.316
42,line_42,1.307,3.057,1.25135,9.0784,13.3233,6.6995,4.3754,3.3797,4.117,6.8949,16.9015,4.9223,4.42323,5.2622,4.51678,12.4547,13.4707,12.4346,664.9824,621.4719,644.5905
426,line_426,1.7024,4.942,1.61665,16.3025,19.8713,15.1571,5.0669,4.2755,5.1926,10.6619,23.4336,11.35777,4.915,4.9833,4.7413,11.9567,12.6876,11.8176,872.47,808.8908,854.79
427,line_427,1.70165,4.2876,1.5142,16.5238,14.3993,11.8393,5.0323,4.263,5.1586,9.9847,19.769,8.8197,5.0735,5.2334,5.0902,11.6141,12.9392,11.8035,874.56,811.92,857.5
437,line_437,1.406,4.7385,1.5193,12.9943,17.1188,11.394,4.7742,4.2515,4.9551,10.2658,24.8037,11.822,4.6177,4.882,4.38598,11.9639,13.3285,12.163,768.8782,688.3771,735.9457
440,line_440,1.525125,4.08475,1.449135,16.3377,18.6768,14.1482,4.9461,4.4786,5.2287,10.3395,25.8816,12.3831,4.6997,4.9933,4.55615,12.2857,13.3406,12.3916,797.6688,738.8231,777.8578
441,line_441,1.78425,4.17735,1.5155,15.9235,20.0547,15.0042,4.8445,4.2386,5.0042,9.374,28.8323,13.3968,4.55843,4.9316,4.37608,13.2169,13.8986,13.1367,768.7514,767.8476,777.0871
443,line_443,1.63785,5.8965,1.74435,14.0545,19.3204,13.515,4.9184,3.2924,4.477,10.3386,19.4353,8.8988,4.6992,4.7484,4.3521,11.2649,12.5263,11.3691,838.3353,751.1124,806.3101
