CAPTURE_ROUND_ID,YEAR,SEASON,DATE,TIME,MINUTES_AFTER_SUNRISE,PROPERTY_ID,PROPERTY_TYPE,RECAPTURE,BAND_NUMBER,SPECIES,SEX,MASS (g),MAX WING CHORD (mm),TAIL (mm),BILL_HEAD (mm),BILL_LENGTH (mm),BILL_WIDTH (mm),BILL_DEPTH (mm),TARSUS_SHORT (mm),TARSUS_LONG (mm),FAT SCORE ,AVIAN POX LESIONS PRESENT,SALMONELLA,DUST RUFFLE PERFORMED,ECTOPARASITES DETECTED,MITES_PRESENT,MITES_ABUNDANCE,LICE_PRESENT,LICE_ABUNDANCE,FAECAL SAMPLE COLLECTED,COCCIDIA_PRESENT,COCCIDIA_ABUNDANCE,HELMINTHS_PRESENT,HELMINTHS_ABUNDANCE
S1,2012,Spring,25/09/12,14:10,484,FORD,Feeding,,D203903,Eurasian blackbird,M,102,135,124,52.2,22.4,6.6,8.2,33.4,37.6,1,1,,Yes,0,0,0,0,0,Yes,1,53,1,54
S1,2012,Spring,26/09/12,13:25,440,DEUX,Feeding,Recapture,D134110,Eurasian blackbird,M,83,131,100,51.8,20.4,5.5,7.3,32.5,36.4,1,0,,Yes,1,1,7,0,0,Yes,1,11,0,0
S1,2012,Spring,26/09/12,16:00,595,DEUX,Feeding,,D203904,Eurasian blackbird,M,96,119,114,52,24,7.5,8,29.6,35.4,2,0,,,,,,,,Yes,1,8,0,0
S1,2012,Spring,26/09/12,11:10,305,DEUX,Feeding,,D203935,Eurasian blackbird,M,102,131,102,51.2,20.6,5.8,6.9,34.4,38.5,1,0,0,,,,,,,,,,,
S1,2012,Spring,27/09/12,14:09,486,DEUX,Feeding,,D203933,Eurasian blackbird,F,86,122,104,50.1,21.1,5.6,7.1,33.6,36.9,2,0,,,,,,,,Yes,1,386,1,6
S1,2012,Spring,27/09/12,10:05,242,DEUX,Feeding,,D203934,Eurasian blackbird,F,89,119,96,51.4,20.9,5.3,7.1,33.3,37.2,2,0,,,,,,,,,,,,
S1,2012,Spring,10/10/12,9:25,161,BAYS,Nonfeeding,Recapture,D134116,Eurasian blackbird,M,91,119,98,50.1,17.9,6.1,7.3,33.8,38.6,1,0,0,Yes,1,1,1,0,0,Yes,0,0,0,0
S1,2012,Spring,10/10/12,8:50,126,BAYS,Nonfeeding,,D203909,Eurasian blackbird,Juvenile,80.5,120,98,50.6,19.4,4.5,6.4,31.9,35.9,1,0,0,Yes,0,0,0,0,0,Yes,0,0,1,17
S1,2012,Spring,11/10/12,9:20,158,BAYS,Nonfeeding,Recapture,D134117,Eurasian blackbird,M,82,128,101.5,52,19.9,5.3,6.7,31.6,34.9,1,0,,Yes,0,0,0,0,0,Yes,0,0,1,10
S1,2012,Spring,11/10/12,16:00,558,BAYS,Nonfeeding,,D203930,Eurasian blackbird,F,83.5,126,106,52.3,21.4,5,6.8,32.5,37.3,1,0,,Yes,0,0,0,0,0,,,,,
S1,2012,Spring,16/10/12,10:46,250,HINE,Nonfeeding,,D203910,Eurasian blackbird,M,86,133,108,52.4,21.1,6.3,7.4,33.3,37.5,1,0,0,Yes,0,0,0,0,0,Yes,0,0,1,15
S1,2012,Spring,12/12/12,8:30,109,HOLY,Feeding,,D203911,Eurasian blackbird,M,84,128,107,50,18.6,5.3,7.1,32.6,37.1,0,0,,,,,,,,,,,,
S1,2012,Spring,12/12/12,8:40,119,HOLY,Feeding,,D203912,Eurasian blackbird,M,89,134,110,51.7,21.8,5.6,7.3,32.6,37.4,2,0,,,,,,,,,,,,
S1,2012,Spring,12/12/12,9:00,139,HOLY,Feeding,,D203913,Eurasian blackbird,F,83,126,99,50.6,20.5,5.4,8,32,36.2,1,0,,,,,,,,,,,,
A2,2013,Autumn,4/03/13,12:50,341,REWI,Feeding,,D203915,Eurasian blackbird,M,102.75,131,109,55,23.7,6.6,8.2,34,37.7,2,0,,Yes,0,0,0,0,0,,,,,
A2,2013,Autumn,5/03/13,9:20,130,REWI,Feeding,,D203916,Eurasian blackbird,M,92.75,129,102,55.7,21.4,5.2,7.1,34.2,37.5,1,0,,Yes,0,0,0,0,0,Yes,0,0,0,0
A2,2013,Autumn,5/03/13,9:05,115,REWI,Feeding,,D203928,Eurasian blackbird,F,98.75,124,89,53.4,21.6,5.9,6.4,34.1,38.8,1,1,,Yes,0,0,0,0,0,,,,,
A2,2013,Autumn,6/03/13,9:30,139,BAYS,Nonfeeding,,D203917,Eurasian blackbird,F,89,125,90,53.9,23.7,5.7,7.2,33.8,37.8,4,0,,Yes,0,0,0,0,0,Yes,0,0,0,0
A2,2013,Autumn,6/03/13,10:25,194,BAYS,Nonfeeding,,D203918,Eurasian blackbird,M,102,129,105,52.4,23.6,5.3,7,35.7,39.8,1,0,,,,,,,,,,,,
A2,2013,Autumn,7/03/13,8:45,93,MCDO,Nonfeeding,,D203919,Eurasian blackbird,M,102,126,100,53.2,19.6,6,7,33.7,37.6,1,0,,Yes,0,0,0,0,0,Yes,0,0,0,0
