OID,Seal,Year,Month,Day,X,Y,Zone
86,1,1999,5,15,1762441.96114,-398261.01267,Kara Sea
87,2,2000,2,2,1770404.0332,-937380.683542,Kara Sea
88,2,2000,2,3,1752824.55262,-406820.221804,Kara Sea
89,2,2000,2,22,1799541.53449,-718551.128739,Kara Sea
90,1,2000,2,23,1913776.85961,-1196634.70996,Barents Sea
91,2,2000,2,23,1921775.49917,-1201636.05047,Barents Sea
92,3,2000,2,23,1930127.07239,-1206077.25283,Barents Sea
93,1,2000,2,24,1779793.19921,-1588526.16467,Barents Sea
94,2,2000,3,18,1774908.83318,-348223.26866,Kara Sea
95,1,2000,3,18,1781910.16363,-341529.407816,Kara Sea
96,4,2000,3,18,1786072.28121,-339634.722098,Kara Sea
97,8,2000,3,18,1779130.39693,-336170.178416,Kara Sea
98,15,2000,3,18,1796422.44583,-335109.720813,Kara Sea
99,2,2000,3,18,1808312.00593,-332431.123299,Kara Sea
100,11,2000,3,18,1814208.97161,-331333.390481,Kara Sea
101,1,2000,3,18,1818076.45207,-330946.840191,Kara Sea
102,5,2000,3,18,1820010.36691,-330751.940107,Kara Sea
103,8,2000,3,18,1825716.6882,-330691.832448,Kara Sea
104,37,2000,3,18,1829489.51505,-330825.596435,Kara Sea
105,13,2000,3,18,1827651.12222,-330493.160856,Kara Sea
106,6,2000,3,18,1833262.87796,-330957.248299,Kara Sea
107,9,2000,3,18,1840714.78674,-331749.670812,Kara Sea
108,7,2000,3,18,1837036.77667,-331086.787764,Kara Sea
109,17,2000,3,18,1844489.71967,-331876.082748,Kara Sea
110,1,2000,3,19,1878315.54022,-812171.101792,Kara Sea
111,1,2000,3,24,1920853.93054,-864609.55435,Kara Sea
112,1,2000,3,24,1820656.44966,-803637.88501,Kara Sea
113,1,2000,3,24,1871191.6126,-809736.917823,Kara Sea
114,1,2000,3,24,1859518.0793,-798912.015623,Kara Sea
115,1,2000,4,4,1837124.64983,-1123587.37873,Kara Sea
116,1,2000,4,4,1836172.48242,-1121537.73009,Kara Sea
117,2,2000,4,19,1695218.04278,-551354.961947,Kara Sea
118,1,2000,4,19,1698590.09397,-546993.174609,Kara Sea
119,3,2000,4,19,1698590.09397,-546993.174609,Kara Sea
120,3,2000,4,19,1700331.64797,-541555.285556,Kara Sea
121,12,2000,4,19,1702522.99078,-534626.323948,Kara Sea
122,2,2000,4,19,1706160.33273,-529232.761113,Kara Sea
123,2,2000,4,19,1707845.01883,-523770.739997,Kara Sea
124,3,2000,4,19,1707845.01883,-523770.739997,Kara Sea
125,1,2000,4,19,1707845.01883,-523770.739997,Kara Sea
126,2,2000,4,19,1711311.02053,-512332.887314,Kara Sea
127,1,2000,4,19,1712618.60245,-501345.552408,Kara Sea
128,1,2000,4,19,1713635.8999,-497857.251582,Kara Sea
129,3,2000,4,19,1712422.29355,-495344.723566,Kara Sea
130,4,2000,4,19,1714709.17732,-487369.412094,Kara Sea
131,2,2000,4,19,1715979.22978,-482878.648906,Kara Sea
132,1,2000,4,19,1715979.22978,-482878.648906,Kara Sea
133,1,2000,4,19,1731609.96151,-431203.874732,Kara Sea
134,1,2000,4,19,1735039.86943,-425096.515969,Kara Sea
